SKU Number,Warehouse Quantity
UCM6304A,28
UCM6308A,9
UCM6510,2
WP810,138
WP820,45
GMC08,16
UCM6308,3
GRP2624-AU,0
DP722,0
DP730,0
DP750,15
DP752,27
DP760,20
GAC2500,44
GBX20,25
GDS3702,5
GDS3705,21
GDS3710,65
GDS37x0-RFID-CARD,5
GDS37x0-FOB,5
GRP2670-AU,0
GDS37X0-RFID-RD,6
GDS37x0-INWALL,17
GSC3620-AU,0
GMD1208,37
GRP2601,79
GRP2601P,108
GRP2602,136
GRP2602P,328
GRP2602W,1099
GRP2603,198
GRP2603P,37
GRP2604,99
GRP2604P,55
GRP2612,33
GRP2612P,133
GRP2612W,0
GRP2613,189
GRP2614,127
GRP2615,522
GRP2616,0
GRP2624,4
GRP2634,7
GRP2670,32
GSC3505,0
GSC3510,0
GSC3570,0
GSC3610,17
GSC3615,0
GSC3620,39
GUV3000,34
GUV3005,0
GUV3050,0
GUV3100,14
GVC3200,2
GVC3202,3
GVC3210,1
GVC3212,20
GVC3220,0
GWN7602,37
GWN7605,127
GWN7605LR,25
GWN7615,375
GWN7630,139
GWN7630LR,39
GWN7660,98
GWN7660LR,39
GWN7664,171
DP720,99
GXP1610,27
GXP1615,49
UCM6304,10
UCM6302A,5
UCM6302,10
UCM6301,31
UCM6300A,7
UCM6202,0
HT818,309
HT814,161
HT813,169
HT812,490
HT802,212
HT801,1174
HA100,1
GXW4504,0
GXW4502,33
GXW4501,34
GXW4232,0
GXW4216,0
GXW4108,0
GXW4104,13
GXV3380,36
GXV3370,149
GXV3350,49
GXP2200EXT,50
GXP2170,976
GXP2160,129
GXP2140,398
GXP2135,384
GXP2130,1092
GXP1782,0
GXP1630,242
GXP1628,378
GXP1625,53
GXP1620,89
UCMRC-50GB-Storage-Add-On,0
UCMRC-Admin-Only-Add-On,0
UCMRC-Business,0
UCMRC-Enterprise,0
UCMRC-Plus,0
UCMRC-Cloud-IM-Add-On,0
UCMRC-Pro,0
GRP2602G,69
GRP2650,4
GS-PoE,0
GWN7052,17
GWN7062,80
GWN7624,17
GWN7625,191
GWN7664LR,30
GXV3450,28
GXV3470,8
GXV3380_WM,4
GXV3611IR_HD,3
GXW4216-V2,11
GXW4224-V2,30
GXW4232-V2,6
GXW4248-V2,50
WP822,47
WP825,0
GDS3712,5
GRP_WM_L,155
GRP_WM_S,22
GSC3516,0
GSC3506,27
GHP621W,115
GHP611W,0
GHP610,44
GRP2612G,28
GHP610W,21
GRP2636,19
GHP620,0
GHP621,19
GHP620W,33
GHP611,109
GAC2570,16
GWN7802P,47
GWN7802,26
GWN7801,25
GWN7801P,152
GWN7803,15
GXV3480,13
GWN7803P,75
GRP_WM_A,72
GWN7052F,10
GWN-DFW-0623,0
UCM-DFW-0623,0
