SKU Number,Warehouse Quantity
RB924i-2nD-BT5&BG77,7
RBD23UGS-5HPacD2HnD-NM,0
RBwAPG-5HacD2HnD-BE,21
RBwAPG-5HacD2HnD-BE-US,0
S+C57DLC10D,0
S-4554LC80D,6
SAW30-240-1200GA,63
XS+31LC10D,10
XS+DA0003,6
RBD52G-5HacD2HnD-TC-US,0
ACSMAUFL,25
HGO-antenna-OUT,169
MTAO-LTE-5D-SQ,20
PL6400,11
Q+DA0001,0
RBLDFG-5acD,39
RBLDFG-5acD-US,297
CubeG-5ac60adpair-US,13
CubeG-5ac60ad,4
GESP+POE-IN,20
CCR1036-8G-2S+EM,0
CubeG-5ac60ay,62
CubeG-5ac60ay-SA,14
CubeG-5ac60ay-US,296
RBSXTsqG-5acD-US,1
CRS318-16P-2S+OUT,369
CubeG-5ac60ad-US,18
RB951Ui-2nD,29
CCR1072-1G-8S+,61
CRS310-1G-5S-4S+IN,150
RB2011UiAS-RM,69
CRS354-48G-4S+2Q+RM,0
CubeG-5ac60ay-SA-US,154
ACRPSMA,154
ACMMCX,0
ACUFL,171
CCR2004-1G-12S+2XS,127
CCR2004-1G-2XS-PCIe,0
CRS310-1G-5S-4S+OUT,62
CRS318-1Fi-15Fr-2S-OUT,101
CSS610-8G-2S+IN,11
CCR2004-16G-2S+,0
CRS312-4C+8XG-RM,113
CRS109-8G-1S-2HnD-IN,1
CRS112-8G-4S-IN,11
CRS317-1G-16S+RM,247
CRS326-24G-2S+RM,169
CSS326-24G-2S+RM,98
RB941-2nD,137
RBwAPG-60ad,75
CCR1036-8G-2S+,0
48POW,38
RBCube-60ad,0
ACOMNIRPSMA,51
ACSWI,188
XS+DA0001,33
GPeR,129
S+AO0005,45
RB760iGS,0
12POW150,29
nRAYG-60adpair,1
QMP-LDF,58
R11e-5HacT,99
RB1100Dx4,13
RB911G-5HPacD,20
RBcAP2nD,5
RBD25G-5HPacQD2HPnD-US,5
RBOmniTikU-5HnD-US,1
RBGroove52HPn-US,0
CCR2216-1G-12XS-2XQ,392
CRS504-4XQ-IN,56
CCR1009-7G-1C-1S+,66
CRS328-24P-4S+RM,39
CCR1009-7G-1C-PC,0
CCR2116-12G-4S+,0
RB1100AHx4,0
RBGPOE,0
