SKU Number,Warehouse Quantity
UVC-G4-Bullet-3,203
UVC-G4-DB-Cover-Black,64
UVC-G4-DB-Cover-Brick,78
UAP-AC-LR-5-US,0
UAP-AC-LR-US,0
UAP-AC-M-5,0
UVC-G4-DB-Cover-Concrete,79
UAP-AC-M-PRO-5-US,1
UAP-AC-M-US,0
UAP-AC-PRO-5-US,0
UVC-G4-DB-Cover-Wood,77
UVC-G4-Dome,2450
UVC-G4-Doorbell-PS-US,25
UVC-G4-IRExtender,1
UVC-G4-PRO,1426
UVC-G4-PRO-3,0
UVC-G4-PTZ,78
UXG-Pro,1651
NSM2-US,0
PBE-5AC-500-US,0
PBE-5AC-GEN2-US,1870
UAP-AC-SHD-5-US,88
UAP-BeaconHD-US,207
UAP-FlexHD-US,1096
UAP-AC-IW,0
U-POE-at,29
UAP-IW-HD-JB-25,2
PBE-M2-400-US,100
POE-24-12W-WH,34
UA-Pro-US,0
UAP-XG-US,20
U-Cable-Patch-1M-RJ45-BL,182
U-Cable-Patch-3M-RJ45-BL,174
U-Cable-Patch-RJ45-BK,39
U-Cable-Patch-RJ45-BL,100
UAP-AC-HD-US,14
RD-5G30-LW,23
U-PRO-MP,0
UACC-LRE,14
UC-DAC-SFP28,20
UBB-US,0
USW-Pro-48-POE,1101
UCK-G2-PLUS,0
AF60-LR-US,99
UDC-2,0
UDC-3,35
UDIM-AT,7
UDIM-AT-5,4
UDM-Pro,1663
UDM-US,0
UF-GP-C+,64
UF-LOCO,0
UF-MM-10G,0
AF-5G30-S45,0
UF-NANO,4451
UF-OLT-4,73
AF-24-US,65
UAP-NanoHD-US,0
UF-WiFi6-US,411
UF-SM-10G-S,0
NSM5-US,0
UF-SM-1G-S,0
UF-SM-1G-S-20,0
UF-WiFi-US,2031
AF11-Complete-HB,0
ULED-AT,0
U-LTE-US,0
UMA-D,0
U-POE-AF,246
US-16-150W,0
US-16-XG,0
US-24,0
AM-5G20-90,35
US-24-250W,0
US-48,0
US-48-500W,0
US-8,0
US-8-150W,0
US-8-5,0
US-8-60W,0
US-8-60W-5,0
LTU-Pro-US,1657
UAP-AC-LITE-5-US,0
USW-Pro-Aggregation,44
USW-Enterprise-8-PoE,96
LocoM5,0
LocoM2,0
Loco5AC-US,2517
Loco5AC,0
LBE-5AC-LR-US,102
LBE-5AC-GEN2-US,40
LAP-GPS-US,613
LAP-120-US,20
IW-HD-WD-3,15
IW-HD-MB-3,9
IW-HD-CF-3,31
IW-HD-BK-3,5
USW-Enterprise-24-PoE,484
ISO-BEAM-16,7
IS-5AC-US,76
IP67CA-RPSMA,14
INS-3AF-USB,170
Horn-5-60,1
GBE-US,0
UISP-Cable-Pro,0
FC-SM-300,4
FC-SM-200,6
UF-SPLITTER-4,20
ES-8-150W,554
ES-5XP,0
ES-48-Lite,0
ES-48-750W,0
ES-48-500W,468
ES-24-Lite,0
ES-24-500W,0
ES-24-250W,0
ES-16XP,0
ES-16-XG,0
ES-16-150W,0
ES-12F,0
ES-10XP,0
ES-10X,0
ER-X-SFP,1325
ER-X,5161
ER-RMKIT,0
ERpoe-5,0
ER-8-XG,0
ER-8,0
ER-6P,149
ER-4,0
ER-12,51
ER-10X,0
EP-S16,0
EP-R8,0
EP-R6,0
EP-54V-150W-DC,4
EP-54V-150W-AC,1
EP-54V-150W,29
EP-24V-72W,9
CKG2-RM,40
BulletAC-IP67-US,111
B-DB-AC-US,363
AMY-9M16x2,5
AM-V2G-Ti,9
U-Cable-Patch-RJ45-50,0
POE-54-80W,90
U-Cable-Patch-RJ45,252
UC-DAC-SFP+,0
UB-AM,154
Horn-5-90,0
F-POE-G2,81
AM-5G17-90,4
AM-9M13-120,6
AM-5AC22-45,36
UF-SM-10G,0
UAP-AC-IW-US,0
AM-5AC21-60,0
AM-2G16-90,0
AF-MPX4,2
UF-SM-10G-S-20,0
UF-SM-10G-20,0
UACC-DAC-SFP10-1M,173
UACC-CM-RJ45-1G,573
SM-SW-40,0
AF60-US,130
AF-5U-US,6
AF-5G23-S45,0
AF-5,0
AF-4X-US,0
AF-2X-US,2
RM2-US,10
RAD-RD3,1
Quick-Mount,0
POE-48-24W-G,2
POE-24-24W-5P,0
POE-24-12W-G,0
POE-24-12W-5P,0
AF-24HD-US,26
LTU-Lite-US,211
PBE-2AC-400-US,243
N-SW,0
LocoM5-US,0
LTU-Rocket-US,32
LTU-LR-US,0
INS-3AF-O-G,0
GBE-Plus-US,33
AMO-2G10,23
AM-5G16-120,25
AM-2G15-120,5
AF-5XHD-US,0
AF-5G34-S45,1
AF-11,0
60G-PM,0
UVC-G3-F-C-3,5
USW-Flex-XG,45
USW-Aggregation,0
USP-Plug-US,0
AM-5G19-120,9
UOC-2,50
UF-MM-1G-20,0
UF-MM-1G,0
UDC-1,17
UISP-Cable-Carrier,1
AF11-Complete-LB,0
UAP-AC-SHD-US,29
U6-Lite-US,0
RM2,0
RD-5G30,15
R5AC-Lite-US,0
POE-50-60W,0
UWB-XG-US,0
POE-24-30W,88
UVC-G4-DoorBell-US,0
US-XG-6POE,175
POE-24-24W-G-WH,187
USW-Pro-48,686
POE-24-7W-G-WH,0
PAK-620,9
USW-Pro-24-POE,2463
USW-Pro-24,597
USW-Lite-8-POE,1633
USW-Lite-16-POE,0
USW-Industrial,0
nHD-cover-Black-3,0
ISO-BEAM-620,4
