SKU Number,Warehouse Quantity
CCPRO-SUP-XMSE-300-5,0
CCPRO-SUP-XMSE-30-1,0
CCPRO-SUP-XMSE-30-3,0
CCPRO-SUP-XMSE-30-5,0
CCPRO-SUP-XMSE-4000-1,0
CCPRO-SUP-XMSE-4000-3,0
CCPRO-SUP-XMSE-4000-5,0
CCPRO-SUP-XMSE-400-1,0
CCPRO-SUP-XMSE-400-3,0
CCPRO-SUP-XMSE-400-5,0
CCPRO-SUP-XMSE-40-1,0
CCPRO-SUP-XMSE-40-3,0
CCPRO-SUP-XMSE-40-5,0
CCPRO-SUP-XMSE-5000-1,0
CCPRO-SUP-XMSE-5000-3,0
CCPRO-SUP-XMSE-5000-5,0
CCPRO-SUP-XMSE-500-1,0
CCPRO-SUP-XMSE-500-3,0
CCPRO-SUP-XMSE-500-5,0
CCPRO-SUP-XMSE-50-1,0
CCPRO-SUP-XMSE-50-3,0
CCPRO-SUP-XMSE-50-5,0
CCPRO-SUP-XMSE-600-1,0
CCPRO-SUP-XMSE-600-3,0
CCPRO-SUP-XMSE-600-5,0
CCPRO-SUP-XMSE-60-1,0
CCPRO-SUP-XMSE-60-3,0
CCPRO-SUP-XMSE-60-5,0
CCPRO-SUP-XMSE-700-1,0
CCPRO-SUP-XMSE-700-3,0
CCPRO-SUP-XMSE-700-5,0
CCPRO-SUP-XMSE-70-1,0
CCPRO-SUP-XMSE-70-3,0
CCPRO-SUP-XMSE-70-5,0
CCPRO-SUP-XMSE-800-1,0
CCPRO-SUP-XMSE-800-3,0
CCPRO-SUP-XMSE-800-5,0
CCPRO-SUP-XMSE-80-1,0
CCPRO-SUP-XMSE-80-3,0
CCPRO-SUP-XMSE-80-5,0
CCPRO-SUP-XMSE-900-1,0
CCPRO-SUP-XMSE-900-3,0
CCPRO-SUP-XMSE-900-5,0
CCPRO-SUP-XMSE-90-1,0
CCPRO-SUP-XMSE-90-3,0
CCPRO-SUP-XMSE-90-5,0
CCPRO-SUP-XR-300-1,0
CCPRO-SUP-XR-300-3,0
CCPRO-SUP-XR-300-5,0
EASY-SUB-2R-1,0
EASY-SUB-2R-3,0
EASY-SUB-2R-5,0
EASY-SUB-4R-1,0
EASY-SUB-4R-3,0
EASY-SUB-4R-5,0
N000082l014A,20
N000082L043A,0
N000082L056A,0
N000082L059A,13
N000082L078A,0
N000082L079A,0
N000082L083A,0
N000082L129A,0
N000900L041A,0
N000900L042A,0
N000900L043A,0
N000900L044A,0
N000900L045A,0
N000900L046A,0
N000900L047A,0
N000900L048A,0
N060082D128A,0
N060082D132A,0
N110082D098A,0
N110082D100A,0
N110082D102A,0
N110082L083A,0
N110082L091A,14
N110082L092A,8
N110082L104A,0
N130082D043A,0
N130082D047A,0
N150082D065A,0
N180082L043A,4
N180082L044A,2
N180082L048A,3
N230082D021A,0
N230082D041A,1
N230082D042A,3
