SKU Number,Warehouse Quantity,Cost
RBGPOE-CON-HP,100,25.50
RB912UAG-2HPnD,100,60.64
RBLHG-5HPnD,100,82.99
ACGPSA,22,7.09
S-85DLC05D,100,14.36
RBDynaDishG-5HacD,0,175.00
RBDynaDishG-5HacD-US,100,175.00
RBDynaDishG-6HnD,2,159.83
RBFTC11,100,32.00
RBLDFR&R11e-LTE6,0,126.85
RBLHG-2nD,28,67.92
RBLHG-2nD-XL,0,84.89
RBLHG-5HPnD-US,0,88.50
RBLHG-5HPnD-XL,7,92.17
RBLHG-5HPnD-XL4pack-US,0,328.00
RBLHG-5HPnD-XL-US,32,92.17
RBLHG5kit,0,175.00
RBLHG5kit-US,5,175.00
RBLHG-5nD,8,70.73
RBLHG-5nD-US,14,70.56
RBLHG-60ad,1,98.72
RBLHGG-5acD,5,88.89
RBLHGG-5acD-US,50,89.89
RBLHGG-5acD-XL,0,102.06
RBLHGG-5acD-XL-US,0,102.06
RBLHGG-5HPacD2HPnD-XL-US,0,177.00
RBLHGG-60ad,3,149.00
RBLHGGR&R11e-LTE6,0,217.00
RBLHGR,0,112.00
RBLHGR&R11e-4G,0,158.65
RBLHGR&R11e-LTE,11,140.30
RBLHGR&R11e-LTE6,6,165.34
RBLHGR&R11e-LTE-US,17,147.00
ACMMCXRPSMA,39,6.40
RBLtAP-2HnD&R11e-LTE&LR8,11,262.22
RBLtAP-2HnD&R11e-LTE6,98,210.29
RBOmniTikG-5HacD,14,99.83
RBOmniTikG-5HacD-US,0,114.00
RBOmniTikPG-5HacD,19,117.08
RBOmniTikPG-5HacD-US,19,124.33
RBOmniTikU-5HnD,67,69.00
RBSXTG-5HPacD-SA,0,94.30
RBSXTR,47,72.58
RBSXTsq5HPnD,4,44.17
RBSXTsq5nD,16,37.96
RBSXTsq5nD-US,12,37.96
RBSXTsqG-5acD,40,54.65
CRS112-8P-4S-IN,1,185.07
RBwAPG-5HacD2HnD-US,1,72.07
RBwAPR-2nD&R11e-4G,10,115.18
RBwAPR-2nD&R11e-LR2,40,119.00
RBwAPR-2nD&R11e-LTE,20,116.84
Sleeve30,0,147.00
solidMOUNT,50,27.85
