SKU Number,Warehouse Quantity
AP-3YR-LIC,0
AP-Co-LIC,0
DuraFon-CC,1
DuraFon-CH,0
DuraFon-UHF-CH,0
DuraFon-UHF-HBC,0
SN-ULTRA-EPET,0
SN-ULTRA-EPMH,0
SN-ULTRA-EPMT,0
SW-1YR-LIC,0
SW-3YR-LIC,0
SW-Co-LIC,0
ECS1552,4
ECS2512,21
SFP2185-05,23
SN-Ultra-ACP,4
AP-1YR-LIC,0
Durapouch-EX,5
SN-Ultra-AS,4
SN-Ultra-LPK,4
DURAPRO-PIB20L-IND,0
EPA5006GP,28
EPD-4824,1
ACP12V2A,0
DuraFon-BCS,0
DuraFon-UHF-BCO,0
DURAFON-UHF-HC,7
DuraFon-UHF-HSA4,0
DuraFon-UHF-PIA,0
DuraFon-UHF-SYS,0
ECS1008P,27
ECS1112FP,28
ECS1528,0
ECS1528FP,32
ECS1528P,28
ECS1552FP,25
ECS1552P,23
ECS2528FP,24
ECS2552FP,2
ECS5512,18
ECS5512FP,19
ECW120,17
ECW160,43
ECW215,45
ECW220,0
ECW220S,27
ECW230,45
ECW230S,34
ECW260,26
ECW336,23
ENH1350EXT,22
ENH500v3,11
EWS2910P,0
SA2312,0
SN-UL-AK20L-IND,1
Cloud-NFR-Kit,0
SN-UL-AK20L,2
SFP3213-10,29
SFP3185-03,0
PIR075-24-GP-B,6
PIR030-24-GS-B,6
FreeStyl2HC,0
FreeStyl2,0
FreeStyl1HC,0
FreeStyl1,0
EWS377AP,0
EWS1200-28TFP,7
EPA5006HAT,53
EPA5006GR,19
EPA5006GAT,100
EPA2406GR,10
EnStationAC,10
EnStation5-AC,9
EAP1300EXT,0
DURAWALKIE,58
DuraFon-SIP-HC,11
DuraFon-SIP-BU,0
DuraFon-HSA3,0
DuraFon-HSA2,1
DuraFon-HBC,0
DuraFon-BC,0
DuraFon-BA,14
FREESTYL,0
SW-5YR-LIC,0
SW-7YR-LIC,0
AP-5YR-LIC,0
N-EnStationAC,20
DURAFON,6
DURAFON,2
ENH500v3,15
AP-7YR-LIC,0
SN-ULTRA-DACC,14
DURAFON,0
DURAFON,5
DURAFON,0
DURAFON,0
FreeStyl,2
FreeStyl,32
DURAFON-ROAM-WK,12
DURAFON,1
DURAFON,5
DURAFON,8
EnStation5-AC,27
ESG510,24
FREESTYL,5
DuraFon-SIP,7
DURAFON,18
ECS5512F,33
ENH500-AX,13
ECS2510FP,15
ENH500-AX,41
ECW270,0
Cloud-Gateway-NFR-Kit,0
ECS1528T,6
Cloud-VPN-NFR-Kit,0
ECW130,35
EPA5090HBT,4
EPA5060GBT,0
EPA5060XBT,0
EPA5060HBT,1
EPA5090GBT,0
EWS7928P-FIT,13
EPA5090XBT,2
EWS377-FIT,94
EWS7952FP-FIT,21
GW-7YR-LIC,0
EWS7952P-FIT,39
GW-Co-LIC,0
GW-3YR-LIC,0
FitCon100,53
GW-1YR-LIC,0
EWS356-FIT,25
EWS375-FIT,0
EWS2910P-FIT,9
EWS357-FIT,60
EWS7928FP-FIT,21
GW-5YR-LIC,0
ESG610,0
EWS850-FIT,2
DURAFONPRO-BUR,0
EnStation6,0
EnStation6,0
EWS2910FP-FIT,0
